Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Province,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
1,3,10/13/2010,Low,6,$261.54 ,4,Regular Air,($213.25),$38.94 ,$35.00 ,Muhammed MacIntyre,Nunavut,Nunavut,Small Business,Office Supplies,Storage & Organization,"Eldon Base for stackable storage shelf, platinum",Large Box,0.8,10/20/2010
49,293,10/1/2012,High,49,"$10,123.02 ",7,Delivery Truck,$457.81 ,$208.16 ,$68.02 ,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.58,10/2/2012
50,293,10/1/2012,High,27,$244.57 ,1,Regular Air,$46.71 ,$8.69 ,$2.99 ,Barry French,Nunavut,Nunavut,Consumer,Office Supplies,Binders and Binder Accessories,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Small Box,0.39,10/3/2012
80,483,7/10/2011,High,30,"$4,965.76 ",8,Regular Air,"$1,198.97 ",$195.99 ,$3.99 ,Clay Rozendal,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,R380,Small Box,0.58,7/12/2011
85,515,8/28/2010,Not Specified,19,$394.27 ,8,Regular Air,$30.94 ,$21.78 ,$5.94 ,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,8/30/2010
86,515,8/28/2010,Not Specified,21,$146.69 ,5,Regular Air,$4.43 ,$6.64 ,$4.95 ,Carlos Soltero,Nunavut,Nunavut,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,8/30/2010
97,613,6/17/2011,High,12,$93.54 ,3,Regular Air,($54.04),$7.30 ,$7.72 ,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"Angle-D Binders with Locking Rings, Label Holders",Small Box,0.38,6/17/2011
98,613,6/17/2011,High,22,$905.08 ,9,Regular Air,$127.70 ,$42.76 ,$6.22 ,Carl Jackson,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Mobile Desk Side File, Wire Frame",Small Box,,6/18/2011
103,643,3/24/2011,High,21,"$2,781.82 ",7,Express Air,($695.26),$138.14 ,$35.00 ,Monica Federle,Nunavut,Nunavut,Corporate,Office Supplies,Storage & Organization,"SAFCO Commercial Wire Shelving, Black",Large Box,,3/25/2011
107,678,2/26/2010,Low,44,$228.41 ,7,Regular Air,($226.36),$4.98 ,$8.33 ,Dorothy Badders,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 198,Small Box,0.38,2/26/2010
127,807,11/23/2010,Medium,45,$196.85 ,1,Regular Air,($166.85),$4.28 ,$6.18 ,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Paper,Xerox 1980,Small Box,0.4,11/24/2010
128,807,11/23/2010,Medium,32,$124.56 ,4,Regular Air,($14.33),$3.95 ,$2.00 ,Neola Schneider,Nunavut,Nunavut,Home Office,Office Supplies,Rubber Bands,Advantus Map Pennant Flags and Round Head Tacks,Wrap Bag,0.53,11/24/2010
134,868,6/8/2012,Not Specified,32,$716.84 ,0,Regular Air,$134.72 ,$21.78 ,$5.94 ,Carlos Daly,Nunavut,Nunavut,Home Office,Office Supplies,Appliances,Holmes HEPA Air Purifier,Medium Box,0.5,6/9/2012
135,868,6/8/2012,Not Specified,31,"$1,474.33 ",4,Regular Air,$114.46 ,$47.98 ,$3.61 ,Carlos Daly,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Small Pack,0.71,6/10/2012
149,933,8/4/2012,Not Specified,15,$80.61 ,2,Regular Air,($4.72),$5.28 ,$2.99 ,Claudia Miner,Nunavut,Nunavut,Small Business,Office Supplies,Binders and Binder Accessories,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Small Box,0.37,8/4/2012
160,995,5/30/2011,Medium,46,"$1,815.49 ",3,Regular Air,$782.91 ,$39.89 ,$3.04 ,Neola Schneider,Nunavut,Nunavut,Home Office,Furniture,Office Furnishings,Ultra Commercial Grade Dual Valve Door Closer,Wrap Bag,0.53,5/31/2011
161,998,11/25/2009,Not Specified,16,$248.26 ,7,Regular Air,$93.80 ,$15.74 ,$1.39 ,Allen Rosenblatt,Nunavut,Nunavut,Small Business,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Small Box,0.4,11/26/2009
175,1154,2/14/2012,Critical,44,"$4,462.23 ",4,Delivery Truck,$440.72 ,$100.98 ,$26.22 ,Sylvia Foulston,Nunavut,Nunavut,Home Office,Furniture,Bookcases,Hon 4-Shelf Metal Bookcases,Jumbo Box,0.6,2/16/2012
176,1154,2/14/2012,Critical,11,$663.78 ,25,Regular Air,($481.04),$71.37 ,$69.00 ,Sylvia Foulston,Nunavut,Nunavut,Home Office,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box,0.68,2/16/2012
203,1344,4/15/2012,Low,15,$834.90 ,6,Regular Air,($11.68),$65.99 ,$5.26 ,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,g520,Small Box,0.59,4/22/2012
204,1344,4/15/2012,Low,18,"$2,480.92 ",1,Regular Air,$313.58 ,$155.99 ,$8.99 ,Jim Radford,Nunavut,Nunavut,Corporate,Technology,Telephones and Communication,LX 788,Small Box,0.58,4/19/2012
213,1412,3/12/2010,Not Specified,13,$59.03 ,10,Express Air,$26.92 ,$3.69 ,$0.50 ,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Labels,Avery 52,Small Box,0.38,3/14/2010
214,1412,3/12/2010,Not Specified,21,$97.48 ,5,Regular Air,($5.77),$4.71 ,$0.70 ,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,0.8,3/14/2010
229,1539,3/9/2011,Low,33,$511.83 ,10,Regular Air,($172.88),$15.99 ,$13.18 ,Carl Ludwig,Nunavut,Nunavut,Corporate,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,3/11/2011
230,1539,3/9/2011,Low,38,$184.99 ,5,Regular Air,($144.55),$4.89 ,$4.93 ,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Computer Peripherals,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Small Pack,0.66,3/14/2011
231,1540,8/4/2012,High,30,$80.90 ,9,Regular Air,$5.76 ,$2.88 ,$0.70 ,Don Miller,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,Newell 335,Wrap Bag,0.56,8/6/2012
249,1702,5/6/2011,High,23,$67.24 ,6,Regular Air,$4.90 ,$2.84 ,$0.93 ,Annie Cyprus,Nunavut,Nunavut,Home Office,Office Supplies,Pens & Art Supplies,SANFORD Liquid Accent™ Tank-Style Highlighters,Wrap Bag,0.54,5/7/2011
250,1761,12/23/2010,High,25,"$12,028.23 ",1,Delivery Truck,($547.61),$449.99 ,$49.00 ,Carl Ludwig,Nunavut,Nunavut,Corporate,Technology,Copiers and Fax,Canon PC940 Copier,Jumbo Drum,0.38,12/25/2010
256,1792,11/8/2010,Low,28,$370.48 ,4,Regular Air,($5.45),$13.48 ,$4.51 ,Carlos Soltero,Nunavut,Nunavut,Consumer,Office Supplies,Storage & Organization,"Tenex Personal Project File with Scoop Front Design, Black",Small Box,0.59,11/13/2010
330,2275,10/21/2012,Not Specified,49,$278.00 ,8,Regular Air,$41.67 ,$6.08 ,$1.17 ,Grant Carroll,Nunavut,Nunavut,Small Business,Office Supplies,Pens & Art Supplies,Col-Erase® Pencils with Erasers,Wrap Bag,0.56,10/22/2012
331,2277,1/1/2011,Not Specified,10,$66.54 ,1,Regular Air,($46.03),$5.98 ,$4.38 ,Don Miller,Nunavut,Nunavut,Home Office,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Small Pack,0.75,1/2/2011
